Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind,ALL_EGcoal,ALL_EGgas,ALL_EGnuclear
48,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.082783333,0.205897619,0.231052381,0,0,0,0,0,0,0,0.139288889,0.073815,0.093380507,0.250741167,0.179706975,0.85,0.85,0.709166667
49,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.087633333,0.195982143,0.239284127,0,0,0,0,0,0,0,0.156066667,0.07257,0.089125731,0.245965333,0.182183782,0.85,0.85,0.709166667
50,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.101233333,0.193440476,0.254473016,0,0,0,0,0,0,0,0.153366667,0.08463,0.090650292,0.231776833,0.185834286,0.85,0.85,0.709166667
51,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.127883333,0.195478571,0.255268254,0,0,0,0,0,0,0,0.156055556,0.08188,0.09171423,0.218050167,0.182202353,0.85,0.85,0.709166667
52,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.15635,0.188804762,0.254768254,0,0,0,0,0,0,0,0.172855556,0.075495,0.092497271,0.202765667,0.184338908,0.85,0.85,0.709166667
53,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.19165,0.191582143,0.25357619,0,0,0,0,0,0,0,0.186955556,0.074205,0.093644834,0.181267167,0.177180252,0.85,0.85,0.709166667
54,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.229116667,0.203890476,0.247734921,0,0,0,0,0,0,0,0.169633333,0.089285,0.09804191,0.175477167,0.178641429,0.85,0.85,0.709166667
55,0.21,0.21,0.21,0.21,0.21,0,0.015165,0,0,0,0.26285,0.211352381,0.242661905,0,0,0,0.015945,0,0,0,0.151033333,0.096695,0.099557505,0.171146333,0.179099076,0.85,0.85,0.709166667
56,0.21,0.21,0.21,0.21,0.21,0.096033333,0.200085,0.014431111,0.064945,0.025043214,0.28575,0.210888095,0.239093651,0,0,0.096566667,0.214485,0.013194152,0.063636526,0.029518908,0.145322222,0.09475,0.093873294,0.159569833,0.175957731,0.85,0.85,0.709166667
57,0.21,0.21,0.21,0.21,0.21,0.242733333,0.34083,0.155988148,0.239212333,0.182572143,0.2766,0.216235714,0.228601587,0,0,0.221466667,0.37198,0.180174074,0.243725308,0.185727647,0.118377778,0.076485,0.091382261,0.140864667,0.160821513,0.85,0.85,0.709166667
58,0.21,0.21,0.21,0.21,0.21,0.33855,0.445805,0.293240741,0.401290667,0.342194286,0.267783333,0.210067857,0.223050794,0,0,0.329211111,0.47315,0.323552047,0.400217333,0.343500168,0.090477778,0.10141,0.081964133,0.113873167,0.122833613,0.85,0.85,0.709166667
59,0.21,0.21,0.21,0.21,0.21,0.438866667,0.50835,0.391412593,0.503128,0.467871071,0.255366667,0.207942857,0.219573016,0,0,0.421066667,0.52055,0.425225731,0.516612821,0.461956471,0.063844444,0.104265,0.066022417,0.104357,0.084301429,0.85,0.85,0.709166667
60,0.21,0.21,0.21,0.21,0.21,0.486733333,0.493475,0.452477037,0.568256333,0.539526429,0.223516667,0.194483333,0.197468254,0,0,0.450622222,0.52639,0.468107212,0.581420705,0.540994874,0.050055556,0.107925,0.059544444,0.106322333,0.06036042,0.85,0.85,0.709166667
61,0.21,0.21,0.21,0.21,0.21,0.485866667,0.50168,0.495282963,0.58798,0.574175357,0.191733333,0.176038095,0.178011111,0,0,0.460688889,0.534995,0.486137232,0.591477154,0.572795294,0.048911111,0.126635,0.065460819,0.106806333,0.046355126,0.85,0.85,0.709166667
62,0.21,0.21,0.21,0.21,0.21,0.429416667,0.462025,0.497474815,0.564487667,0.557901786,0.167533333,0.170003571,0.160247619,0,0,0.404144444,0.485785,0.495754971,0.569388269,0.559330252,0.063977778,0.134655,0.06197154,0.107642333,0.041043529,0.85,0.85,0.709166667
63,0.21,0.21,0.21,0.21,0.21,0.346666667,0.33432,0.430288148,0.503032,0.493625,0.151983333,0.170539286,0.14611746,0,0,0.318722222,0.38046,0.432058869,0.500064064,0.493526555,0.071211111,0.135965,0.069255945,0.109984167,0.038769664,0.85,0.85,0.709166667
64,0.21,0.21,0.21,0.21,0.21,0.234333333,0.194645,0.304614074,0.390258667,0.381497857,0.137383333,0.179128571,0.142328571,0,0,0.200088889,0.216605,0.329592008,0.389813654,0.37914395,0.068033333,0.159975,0.066324561,0.113554167,0.039144958,0.85,0.85,0.709166667
65,0.21,0.21,0.21,0.21,0.21,0.0674,0.024255,0.156935556,0.239613,0.2290425,0.1467,0.184217857,0.145,0,0,0.0559,0.025255,0.15432768,0.237637731,0.225927647,0.061955556,0.165555,0.075321053,0.119486167,0.04453605,0.85,0.85,0.709166667
66,0.21,0.21,0.21,0.21,0.21,0,0,0.006303704,0.062379333,0.057438571,0.1453,0.19504881,0.157263492,0,0,0,0,0.005617154,0.062546705,0.053336891,0.078022222,0.170805,0.083670175,0.140927833,0.056576218,0.85,0.85,0.709166667
67,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.136383333,0.211864286,0.1759,0,0,0,0,0,0,0,0.092055556,0.166185,0.087211111,0.167752667,0.081910924,0.85,0.85,0.709166667
68,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.139616667,0.219795238,0.193153968,0,0,0,0,0,0,0,0.120555556,0.1752,0.103747953,0.197048667,0.101184706,0.85,0.85,0.709166667
