Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind
58,0.22,0.22,0.22,0.22,0.22,0.479566667,0.524655,0.430061481,0.442493333,0.426705714,0.137116667,0.074303571,0.146088889,0,0,0.489988889,0.5097,0.453926316,0.439224564,0.427335126,0.055655556,0.080115,0.100669981,0.052779167,0.09109563
59,0.22,0.22,0.22,0.22,0.22,0.57505,0.6046,0.54133037,0.556547667,0.546568214,0.1027,0.06710119,0.136939683,0,0,0.582155556,0.56942,0.553740546,0.560175551,0.546892437,0.052833333,0.090915,0.084354971,0.052827333,0.063718739
60,0.22,0.22,0.22,0.22,0.22,0.62,0.590355,0.606086667,0.625823,0.631766071,0.095033333,0.062765476,0.12455873,0,0,0.616211111,0.575425,0.60398694,0.63175191,0.627717731,0.057655556,0.08915,0.093153021,0.0562715,0.059499412
61,0.22,0.22,0.22,0.22,0.22,0.6147,0.590115,0.615608889,0.650262,0.651326786,0.07825,0.060911905,0.118353968,0,0,0.615322222,0.557925,0.607576023,0.651203795,0.649865378,0.067788889,0.09155,0.103779922,0.063237167,0.05272479
62,0.22,0.22,0.22,0.22,0.22,0.562666667,0.48311,0.598099259,0.629381,0.627430357,0.077133333,0.065354762,0.135466667,0,0,0.556388889,0.492695,0.598542885,0.624306577,0.629775966,0.064366667,0.091245,0.109383431,0.068125833,0.048156555
63,0.22,0.22,0.22,0.22,0.22,0.463916667,0.385755,0.533345185,0.553987,0.564002143,0.081183333,0.073915476,0.146369841,0,0,0.460066667,0.400755,0.513967836,0.552456897,0.56538563,0.073666667,0.079155,0.128652242,0.072402167,0.049053613
64,0.22,0.22,0.22,0.22,0.22,0.33675,0.2519,0.404356296,0.437405333,0.447104643,0.066066667,0.084994048,0.175455556,0,0,0.332822222,0.25996,0.412483431,0.43597159,0.444501261,0.101333333,0.081475,0.140312671,0.0765685,0.051218824
65,0.22,0.22,0.22,0.22,0.22,0.1701,0.10719,0.26196963,0.285325,0.302979643,0.068683333,0.0991,0.194409524,0,0,0.168255556,0.10921,0.271616764,0.288494436,0.301389496,0.0782,0.08934,0.146939181,0.083044833,0.056484286
66,0.22,0.22,0.22,0.22,0.22,0.024283333,0.002875,0.093507407,0.110231,0.1273875,0.083433333,0.110991667,0.198068254,0,0,0.019966667,0.004705,0.102877778,0.110029244,0.125457815,0.072122222,0.096635,0.162633723,0.0941635,0.063763193
67,0.22,0.22,0.22,0.22,0.22,0,0,0.001506667,0.00145,0.006375357,0.101716667,0.116461905,0.226793651,0,0,0,0,0.001967641,0.001127538,0.006461513,0.104755556,0.102875,0.173389669,0.12918,0.08967395
68,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.114866667,0.128407143,0.220596825,0,0,0,0,0,0,0,0.127677778,0.09682,0.177109357,0.178913,0.125116303
69,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.119733333,0.13809881,0.246466667,0,0,0,0,0,0,0,0.148688889,0.10575,0.179605848,0.223872167,0.167207479
