"elec_demand_ER_p20_2024","elec_demand_NER_p20_2024","elec_demand_NR_p20_2024","elec_demand_SR_p20_2024","elec_demand_WR_p20_2024"
28696.5290816603,2437.10311083141,50374.329502864,41523.0497810379,50898.076820947
29963.9235401139,2825.91763985139,57184.3689211839,46341.5291604245,54542.1517133305
30524.0270044996,2830.67888033245,59397.7805724829,48201.8755280891,55398.9693198043
30046.5377131713,2696.71794693568,59245.9005764326,50130.8027285463,53835.8016135604
29424.2658335101,2535.99391763242,58598.4303234166,50579.5424089915,53701.7006762246
29465.7673817118,2563.31733247141,59168.3453456381,50781.2200645204,53510.4070916964
29318.0146902262,2587.24891381642,59243.4838592939,50840.9835820387,53108.0039686698
29012.3468204007,2602.58909502921,58928.2532553317,50216.5087769317,53053.977832029
29125.4918934616,2619.09763000497,58933.2409571306,50146.552895656,53280.9147862099
29358.9856697447,2688.63400860134,58835.1363476905,50040.0894318476,53695.5074603924
29195.9844123932,2738.33829601365,58879.0292049988,48950.3342929301,54004.5568656713
29062.3376033088,2778.37083280626,58388.9794943837,46495.4793508978,53211.1799691115
31930.5935938571,3212.73658272582,57113.8725506088,47522.6690354057,56467.0807514227
32800.7663911009,3185.25517191672,64435.0244666292,48072.4804874636,55693.7696931559
32756.3795124544,3191.51575693378,64414.0825378838,46356.2325313833,54984.2218386887
32758.8247520424,3137.74616555415,63989.1105257672,44975.9687657961,54282.4298973177
32465.7803302797,2847.86921000845,61352.4578317433,42833.8860193874,49950.9936532968
31423.0407070765,2457.532038987,59298.6722954295,40306.7709540805,49319.2530516664
27118.7782846046,1859.7732064008,37461.9880642376,34110.7205018887,46240.12750756
26132.2427365143,1757.17261153125,35844.7385608516,32536.690977148,44760.7567146206
25760.4669591355,1725.03236752519,35229.2136366773,32095.7820712709,44506.5799667277
25482.6038414518,1702.32627804456,34816.713318512,31935.985604196,44351.0084330966
25222.6581865089,1659.19321846483,34926.4079423474,31836.0781983012,44061.7218981358
25158.9363759734,1683.37442394913,35760.9131221168,33260.8577965084,44969.121547722
25256.6352257469,1981.09569160378,36641.9719896893,36296.2188555685,47099.3417774785
27845.784271411,2393.65421809415,43922.5075139113,41986.1790319517,52182.7332937907
28425.2220073848,2428.56774186566,45554.1314171225,44078.6444299391,53443.6341122024
28095.653111247,2349.56144703895,44511.2688807667,45580.8509294339,52151.1584070897
28065.2145848855,2354.122571246,47909.3335064502,46125.1141416398,53732.2594632961
28066.017976387,2379.80177943828,48480.2016678288,46180.155192044,53520.100453735
27878.2587087093,2400.79958402041,48526.6382473335,46213.0803694325,53091.0240050498
27592.7531055274,2403.86316207275,48173.7697286946,45841.9231837716,53095.8147326615
27528.9349499829,2409.65827674653,48099.9357633846,45754.8861245566,53334.5185722374
27782.9460774735,2475.85929673565,48333.1530380691,45840.6982851073,53877.39034139
27656.4078255086,2517.01594398833,49205.4319168876,45267.0092748769,53961.8729751467
28214.3026146776,2556.57449824975,49213.6428672469,43468.7971923854,52884.0280472474
30236.7597138524,2901.06713205688,48557.6349508798,45124.1761507238,56332.08497529
29919.82452747,2656.49634501316,49169.3680646745,43892.4147983129,53592.8631381001
29744.6893312951,2635.60045564887,47523.5098677822,41852.3618586248,52545.3877959379
29523.8573626437,2566.67205268908,46162.9394000968,40392.0650770408,51599.9443451637
28369.0142895515,2258.60238484804,40773.1108810918,37572.4941870879,46499.4362790527
27220.8918014773,1852.4542829761,37821.5705608641,35002.2044925361,46339.7784410145
20992.0333026598,1549.96749679965,35879.1654394212,35227.8831861818,50852.4305942597
20800.6685249028,1530.43633102728,35359.8450249166,34402.6988778662,50347.1042756449
20641.4740313668,1498.70403684597,34965.5134581945,33995.9677405557,50132.8638739861
20637.2657234091,1491.7573406767,34729.919677072,33927.4601301078,50066.4035604175
20849.1866167704,1542.16161947207,35295.4452284344,34547.4831706308,50382.8295652198
21222.0271409525,1674.33544109903,37062.238779535,36697.5731686858,51709.7192486081
22255.0937503248,1958.99388086095,39688.9267418234,39079.941570925,54419.236303202
22967.5045739086,1983.43199214789,44849.5645615372,43494.7524500382,55766.0790645785
23243.3106620485,1894.17318028313,46387.4661050845,45724.9950489505,59174.3714697009
23419.3395262164,1917.26023904681,45304.5990602215,47929.5866865084,58936.6668514598
